"Call Tree","Time (ms)","Level"
"main Group: 'main' Native ID: 12268","1625","1"
"Thread-7 Group: 'main' Native ID: 10456","421","1"
"Thread-8 Group: 'main' Native ID: 3008","375","1"
"Thread-9 Group: 'main' Native ID: 6068","375","1"
"Thread-27 Group: 'main' Native ID: 17024","296","1"
"Thread-26 Group: 'main' Native ID: 1040","281","1"
"Thread-29 Group: 'main' Native ID: 5912","281","1"
"Thread-24 Group: 'main' Native ID: 16684","265","1"
"Thread-39 Group: 'main' Native ID: 17188","265","1"
"Thread-37 Group: 'main' Native ID: 11272","250","1"
"Thread-10 Group: 'main' Native ID: 4988","234","1"
"Thread-28 Group: 'main' Native ID: 3324","218","1"
"Thread-5 Group: 'main' Native ID: 7376","218","1"
"Thread-20 Group: 'main' Native ID: 2948","203","1"
"Thread-38 Group: 'main' Native ID: 5296","203","1"
"Thread-35 Group: 'main' Native ID: 17176","187","1"
"Thread-40 Group: 'main' Native ID: 5996","187","1"
"Thread-6 Group: 'main' Native ID: 2948","187","1"
"Monitor Ctrl-Break Group: 'main' Native ID: 4880","78","1"
"Thread-25 Group: 'main' Native ID: 14296","78","1"
"Thread-36 Group: 'main' Native ID: 16488","62","1"
"Thread-1 Group: 'main' Native ID: 12504","15","1"
