"Method","Time (ms)","Own Time (ms)"
"com.code.httpserver.core.HttpConnectionWorkerThread.run() HttpConnectionWorkerThread.java","4609","78"
"java.io.BufferedReader.readLine() BufferedReader.java","2562","2562"
"java.lang.String.getBytes() String.java","1562","1562"
"com.code.httpserver.HttpServer.main(String[]) HttpServer.java","1252","< 0.1"
"com.code.httpserver.config.ConfigurationManager.loadConfigurationFile(String) ConfigurationManager.java","1173","0"
"java.lang.ClassLoader.loadClass(String) ClassLoader.java","1172","1266"
"com.code.httpserver.util.Json.<clinit>() Json.java","954","0"
"com.code.httpserver.util.Json.defaultObjectMapper() Json.java","954","< 0.1"
"com.fasterxml.jackson.databind.ObjectMapper.<init>() ObjectMapper.java","533","533"
"com.code.httpserver.HttpServer.<clinit>() HttpServer.java","373","0"
"org.slf4j.LoggerFactory.getLogger(Class) LoggerFactory.java","357","357"
"com.fasterxml.jackson.databind.ObjectMapper.<clinit>() ObjectMapper.java","160","160"
"com.code.httpserver.util.Json.fromJson(JsonNode, Class) Json.java","140","0"
"com.fasterxml.jackson.databind.ObjectMapper.treeToValue(TreeNode, Class) ObjectMapper.java","140","140"
"java.io.OutputStream.write(byte[]) OutputStream.java","140","140"
"ch.qos.logback.classic.Logger.info(String) Logger.java","94","94"
"java.lang.StringBuilder.append(String) StringBuilder.java","93","93"
"com.code.httpserver.util.Json.parse(String) Json.java","78","0"
"com.fasterxml.jackson.databind.ObjectMapper.readTree(String) ObjectMapper.java","78","78"
"com.intellij.rt.execution.application.AppMainV2$1.run() AppMainV2.java","78","78"
"java.io.BufferedReader.close() BufferedReader.java","78","78"
"java.lang.StringBuilder.toString() StringBuilder.java","62","62"
"java.lang.invoke.Invokers$Holder.linkToTargetMethod(int, Object, Object) Invokers$Holder","31","31"
"org.slf4j.LoggerFactory.<clinit>() LoggerFactory.java","15","15"
